#SampleID	anonymized_name	env_feature	env_material	latitude	longitude	calcium	ch4_flux	co2_flux	co2_ch4_flux_units	conductivity	conductivity_units	elevation_m	exchange_capacity	exchange_capacity_ions	k_na_ca_mg_h_units	hydrogen	magnesium	total_organic_carb_percent	total_inorganic_carbon_percent	total_carbon_percent	soil_nh4	soil_no3	soil_total_inorganic_nitrogen	soil_nitrogen_units	total_nitrogen_percent	microbial_biomass_carbon	microbial_biomass_carbon_units	microbial_biomass_nitrogen	microbial_biomass_nitrogen_units	per_gram_dry_soil_per_hour	per_gram_dry_soil_per_hour_units	percent_base_saturation	ph	potassium	potential_exchange_capacity	potential_exchange_capacity_ions	potential_net_n_mineralization	potential_net_n_mineralization_units	potential_net_nitrification	potential_net_nitrification_units	respiration	respiration_units	sodium	conductivity_category
10156.18.fastq.gz	18	freshwater wetland	soil	42.19445	-76.0929778	1.45	0.080304549	22.14145097	ug C/g soil/day	0.051	mS/cm	419.1	2.21	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	7.34	0.3	0.4652	0.0219	0.4871	87.61721811	2.169766015	89.78698413	ug N/g dry soil	0.09252	739.292271	ugC/g soil	57.27589974	ug N/g dry soil	13.64055534	ng N/g soil/hour	23.1	5.33	0.32	9.55	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	16.75538089	ug-N/g dry soil/day	0.139620774	ug-N/g dry soil/day	22.14145097	ug C/g soil/day	0.13	low
10156.19.fastq.gz	19	freshwater wetland	soil	42.1956972	-76.0904361	2.23	0.035945674	8.636135127	ug C/g soil/day	0.082	mS/cm	423.3	3.03	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	11.5	0.46	1.7221	0.0351	1.757	86.55908038	0.952149884	87.51123026	ug N/g dry soil	0.17275	699.1032632	ugC/g soil	120.2595697	ug N/g dry soil	71.53750582	ng N/g soil/hour	20.85	5.82	0.22	14.53	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-3.84002087	ug-N/g dry soil/day	-0.05737907	ug-N/g dry soil/day	8.636135127	ug C/g soil/day	0.11	low
10156.1B1.fastq.gz	1B1	freshwater wetland	soil	42.9280667	-76.8585361	14.97	NA	NA	ug C/g soil/day	NA	mS/cm	146	16.74	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.52	1.33	2.2589	1.2205	3.479	3.749934979	0.316717481	4.06665246	ug N/g dry soil	0.10067	92.82486768	ugC/g soil	4.634307806	ug N/g dry soil	22.121	ng N/g soil/hour	100	7.34	0.39	16.74	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-0.288867588	ug-N/g dry soil/day	-0.00353372	ug-N/g dry soil/day	2.976125991	ug C/g soil/day	0.05	NA
10156.1B2.fastq.gz	1B2	freshwater wetland	soil	42.9280667	-76.8585361	18.58	NA	NA	ug C/g soil/day	NA	mS/cm	146	21.2	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.52	2.27	4.4236	0.1758	4.599	1.794645473	0.836141641	2.630787113	ug N/g dry soil	0.24977	388.7201783	ugC/g soil	7.276249455	ug N/g dry soil	10.243	ng N/g soil/hour	81	6.71	0.31	26.28	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-0.182425082	ug-N/g dry soil/day	-0.047644185	ug-N/g dry soil/day	7.333381338	ug C/g soil/day	0.05	NA
10156.1B3.fastq.gz	1B3	freshwater wetland	soil	42.9280667	-76.8585361	14.15	NA	NA	ug C/g soil/day	NA	mS/cm	146	15.83	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.52	1.34	1.412	1.0611	2.473	0.664299078	0.288825686	0.953124764	ug N/g dry soil	0.08584	71.70977813	ugC/g soil	2.495048709	ug N/g dry soil	2.91	ng N/g soil/hour	100	7.38	0.29	15.83	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-0.039450929	ug-N/g dry soil/day	-0.002658492	ug-N/g dry soil/day	5.034906577	ug C/g soil/day	0.05	NA
10156.1B4.fastq.gz	1B4	freshwater wetland	soil	42.9280667	-76.8585361	13.35	NA	NA	ug C/g soil/day	NA	mS/cm	146	15.41	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.52	1.75	4.004	0.1001	4.104	1.68167379	0.359332006	2.041005797	ug N/g dry soil	0.15619	396.7034946	ugC/g soil	1.65394405	ug N/g dry soil	4.524	ng N/g soil/hour	78	6.61	0.27	19.69	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-0.127510304	ug-N/g dry soil/day	-0.003648707	ug-N/g dry soil/day	10.46403103	ug C/g soil/day	0.04	NA
10156.1B5.fastq.gz	1B5	freshwater wetland	soil	42.9280667	-76.8585361	17.3	NA	NA	ug C/g soil/day	NA	mS/cm	146	19.79	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.52	2.07	3.1878	0.4756	3.663	4.408240896	0.339095454	4.74733635	ug N/g dry soil	0.18856	86.6988193	ugC/g soil	6.134662162	ug N/g dry soil	18.764	ng N/g soil/hour	87	7	0.36	22.71	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-0.37511746	ug-N/g dry soil/day	-0.002597573	ug-N/g dry soil/day	8.567106979	ug C/g soil/day	0.05	NA
10156.1C1.fastq.gz	1C1	freshwater wetland	soil	42.9280667	-76.8585361	16.89	NA	NA	ug C/g soil/day	NA	mS/cm	146	19.47	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.52	2.09	2.5329	0.2722	2.805	0.327824157	0.327824157	0.655648314	ug N/g dry soil	0.18804	454.2135014	ugC/g soil	9.187279111	ug N/g dry soil	0.518	ng N/g soil/hour	75	6.65	0.3	25.99	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	0.244775586	ug-N/g dry soil/day	0.167023019	ug-N/g dry soil/day	14.29815037	ug C/g soil/day	0.19	NA
10156.1C2.fastq.gz	1C2	freshwater wetland	soil	42.9280667	-76.8585361	17.48	NA	NA	ug C/g soil/day	NA	mS/cm	146	19.21	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.52	1.38	1.5508	0.293	1.844	1.350046573	0.778105661	2.128152234	ug N/g dry soil	0.13098	232.8722834	ugC/g soil	5.745938316	ug N/g dry soil	1.852	ng N/g soil/hour	90	6.98	0.29	21.37	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-0.089637014	ug-N/g dry soil/day	-0.044908179	ug-N/g dry soil/day	3.022712492	ug C/g soil/day	0.05	NA
10156.1C3.1.fastq.gz	1C3.1	freshwater wetland	soil	42.9280667	-76.8585361	12.27	NA	NA	ug C/g soil/day	NA	mS/cm	146	14.37	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.52	1.76	1.9169	0.2352	2.152	0.815875189	0.910744397	1.726619586	ug N/g dry soil	0.15707	110.1947095	ugC/g soil	3.301710809	ug N/g dry soil	9.381	ng N/g soil/hour	82	6.77	0.29	17.49	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-0.022181528	ug-N/g dry soil/day	-0.009364296	ug-N/g dry soil/day	10.06902854	ug C/g soil/day	0.06	NA
10156.1C3.2.fastq.gz	1C3.2	freshwater wetland	soil	42.9280667	-76.8585361	17.37	NA	NA	ug C/g soil/day	NA	mS/cm	146	18.72	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.52	1.11	1.8496	0.0392	1.889	1.494740682	0.341264996	1.836005678	ug N/g dry soil	0.13494	380.6386599	ugC/g soil	3.152613524	ug N/g dry soil	0.918	ng N/g soil/hour	78	5.81	0.2	24.12	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	0.051795179	ug-N/g dry soil/day	0.123709545	ug-N/g dry soil/day	3.15395658	ug C/g soil/day	0.04	NA
10156.1C4.fastq.gz	1C4	freshwater wetland	soil	42.9280667	-76.8585361	6.57	NA	NA	ug C/g soil/day	NA	mS/cm	146	8.68	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.52	1.73	1.6385	0.2231	1.862	0.838818308	0.951992207	1.790810514	ug N/g dry soil	0.12822	227.5007886	ugC/g soil	5.81173799	ug N/g dry soil	NA	ng N/g soil/hour	75	6.88	0.32	11.6	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	0.028531566	ug-N/g dry soil/day	0.078932029	ug-N/g dry soil/day	7.905868476	ug C/g soil/day	0.06	NA
10156.1S1.fastq.gz	1S1	freshwater wetland	soil	42.9280667	-76.8585361	16.38	NA	NA	ug C/g soil/day	NA	mS/cm	146	18.09	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.52	1.32	2.2358	0.8931	3.129	3.264616163	0.33586586	3.600482023	ug N/g dry soil	0.12936	397.0966796	ugC/g soil	2.291811601	ug N/g dry soil	13.907	ng N/g soil/hour	93	7.07	0.34	19.41	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-0.273708396	ug-N/g dry soil/day	-0.003729184	ug-N/g dry soil/day	4.758300319	ug C/g soil/day	0.05	NA
10156.1S2.fastq.gz	1S2	freshwater wetland	soil	42.9280667	-76.8585361	NA	NA	NA	ng N/g soil/hour	NA	mS/cm	146	NA	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	NA	NA	NA	NA	NA	NA	NA	NA	ug N/g dry soil	NA	NA	ugC/g soil	NA	ug N/g dry soil	NA	ng N/g soil/hour	NA	Not applicable	NA	NA	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	NA	ug-N/g dry soil/day	NA	ug-N/g dry soil/day	NA	ug C/g soil/day	NA	NA
10156.1S3.1.fastq.gz	1S3.1	freshwater wetland	soil	42.9280667	-76.8585361	13.91	NA	NA	ug C/g soil/day	NA	mS/cm	146	16.1	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.52	1.8	1.9622	0.9121	2.874	4.570512997	0.315643163	4.88615616	ug N/g dry soil	0.13852	335.1886731	ugC/g soil	16.14732245	ug N/g dry soil	4.162	ng N/g soil/hour	100	7.18	0.34	16.1	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	0.350010344	ug-N/g dry soil/day	0.649469989	ug-N/g dry soil/day	13.84177658	ug C/g soil/day	0.04	NA
10156.1S3.2.fastq.gz	1S3.2	freshwater wetland	soil	42.9280667	-76.8585361	13.52	NA	NA	ug C/g soil/day	NA	mS/cm	146	15	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.52	1.07	0.8133	1.8341	2.647	1.851175953	0.302479731	2.153655684	ug N/g dry soil	0.0687	149.2429833	ugC/g soil	6.122037009	ug N/g dry soil	7.013	ng N/g soil/hour	100	7.31	0.35	15	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-0.035876476	ug-N/g dry soil/day	-0.003487586	ug-N/g dry soil/day	12.85438551	ug C/g soil/day	0.06	NA
10156.1S4.fastq.gz	1S4	freshwater wetland	soil	42.9280667	-76.8585361	11.77	NA	NA	ug C/g soil/day	NA	mS/cm	146	13.33	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.52	1.2	0.6232	1.1442	1.767	3.337971605	0.301805751	3.639777355	ug N/g dry soil	0.06403	153.1375296	ugC/g soil	5.234606863	ug N/g dry soil	4.079	ng N/g soil/hour	100	7.37	0.32	13.33	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-0.052410216	ug-N/g dry soil/day	0.053687213	ug-N/g dry soil/day	11.28396765	ug C/g soil/day	0.05	NA
10156.1T1.fastq.gz	1T1	freshwater wetland	soil	42.9280667	-76.8585361	15.37	NA	NA	ug C/g soil/day	NA	mS/cm	146	17.26	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.52	1.57	1.5961	1.1085	2.705	0.350611713	0.350611713	0.701223425	ug N/g dry soil	0.1429	85.5375191	ugC/g soil	3.40481382	ug N/g dry soil	2.927	ng N/g soil/hour	100	7.33	0.27	17.26	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-0.007361352	ug-N/g dry soil/day	-0.003680676	ug-N/g dry soil/day	3.556612693	ug C/g soil/day	0.05	NA
10156.1T2.fastq.gz	1T2	freshwater wetland	soil	42.9280667	-76.8585361	13.51	NA	NA	ug C/g soil/day	NA	mS/cm	146	15.57	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.52	1.8	2.1536	0.0623	2.216	1.69318455	0.339996898	2.033181447	ug N/g dry soil	0.17465	92.79354365	ugC/g soil	10.69909751	ug N/g dry soil	8.351	ng N/g soil/hour	75	6.1	0.21	20.71	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	0.07851982	ug-N/g dry soil/day	0.122315626	ug-N/g dry soil/day	11.30255479	ug C/g soil/day	0.05	NA
10156.1T3.fastq.gz	1T3	freshwater wetland	soil	42.9280667	-76.8585361	18.42	NA	NA	ug C/g soil/day	NA	mS/cm	146	20.17	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.52	1.45	1.9044	0.6643	2.569	1.868535292	0.324398488	2.19293378	ug N/g dry soil	0.15058	92.59530619	ugC/g soil	9.749891645	ug N/g dry soil	23.623	ng N/g soil/hour	95	7.1	0.23	21.21	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	0.094433629	ug-N/g dry soil/day	0.175288415	ug-N/g dry soil/day	5.330425055	ug C/g soil/day	0.06	NA
10156.1T4.fastq.gz	1T4	freshwater wetland	soil	42.9280667	-76.8585361	19.62	NA	NA	ug C/g soil/day	NA	mS/cm	146	22.01	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.52	2.09	3.1163	0.2073	3.324	0.880203046	0.711928934	1.59213198	ug N/g dry soil	0.23623	396.3468957	ugC/g soil	18.06118958	ug N/g dry soil	67.819	ng N/g soil/hour	81	6.63	0.24	27.23	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	0.388403736	ug-N/g dry soil/day	0.399013011	ug-N/g dry soil/day	9.971709726	ug C/g soil/day	0.06	NA
10156.1T5.fastq.gz	1T5	freshwater wetland	soil	42.9280667	-76.8585361	16.03	NA	NA	ug C/g soil/day	NA	mS/cm	146	18.22	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.52	1.87	2.5983	1.0161	3.614	2.337956353	0.338834254	2.676790607	ug N/g dry soil	0.16616	81.18826597	ugC/g soil	8.49176941	ug N/g dry soil	7.706	ng N/g soil/hour	95	7.22	0.26	19.26	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-0.1905635	ug-N/g dry soil/day	-0.004412564	ug-N/g dry soil/day	11.09980351	ug C/g soil/day	0.07	NA
10156.2.fastq.gz	2	freshwater wetland	soil	42.497525	-76.372283	7.74	0.029917817	23.69416446	ug C/g soil/day	0.164	mS/cm	317	9.68	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	14.7	1.59	1.7735	0.0548	1.828	46.64665229	0.429527185	47.07617947	ug N/g dry soil	0.18676	618.3138145	ugC/g soil	50.74180575	ug N/g dry soil	154.741417	ng N/g soil/hour	39.71	5.67	0.21	24.38	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-0.195760955	ug-N/g dry soil/day	-6.43E-05	ug-N/g dry soil/day	23.69416446	ug C/g soil/day	0.14	low
10156.20.fastq.gz	20	freshwater wetland	soil	42.1018361	-76.3401833	2.12	0.030620351	7.037208553	ug C/g soil/day	0.111	mS/cm	397.7	2.97	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	7.18	0.57	2.2752	0.0316	2.307	63.70851588	0.8920679	64.60058378	ug N/g dry soil	0.17392	560.8018016	ugC/g soil	71.6080038	ug N/g dry soil	12.8385915	ng N/g soil/hour	29.29	5.39	0.16	10.15	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-2.393836694	ug-N/g dry soil/day	-0.041925143	ug-N/g dry soil/day	7.037208553	ug C/g soil/day	0.12	low
10156.21.fastq.gz	21	freshwater wetland	soil	42.089833	-76.447144	2.63	0.265056535	14.56721213	ug C/g soil/day	0.101	mS/cm	436	3.22	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.11	0.35	2.2905	0.038	2.329	28.43433472	0.43477576	28.86911048	ug N/g dry soil	0.19275	343.7257704	ugC/g soil	27.50577334	ug N/g dry soil	11.36439281	ng N/g soil/hour	34.54	5.46	0.13	9.33	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-2.685126286	ug-N/g dry soil/day	-0.009276769	ug-N/g dry soil/day	14.56721213	ug C/g soil/day	0.12	low
10156.22.fastq.gz	22	freshwater wetland	soil	42.085836	-76.440406	3.82	0.027974741	7.22909697	ug C/g soil/day	0.092	mS/cm	418	4.81	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	3.37	0.62	0.3228	0.0192	0.3419	0.640792435	0.26048473	0.901277164	ug N/g dry soil	0.08263	181.4339505	ugC/g soil	0.965263149	ug N/g dry soil	10.96040275	ng N/g soil/hour	58.77	6.92	0.29	8.18	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	0.005708975	ug-N/g dry soil/day	-0.000146664	ug-N/g dry soil/day	7.22909697	ug C/g soil/day	0.08	low
10156.23.fastq.gz	23	freshwater wetland	soil	43.044491	-76.663544	9.81	0.040795187	6.820537712	ug C/g soil/day	0.234	mS/cm	134.1	11.27	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	2.06	1.17	1.0014	0.6814	1.683	0.269959697	0.269959697	0.539919395	ug N/g dry soil	0.0953	187.9336267	ugC/g soil	0.553129176	ug N/g dry soil	2.254462122	ng N/g soil/hour	84.55	7.56	0.22	13.33	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	3.862164719	ug-N/g dry soil/day	0.878410723	ug-N/g dry soil/day	6.820537712	ug C/g soil/day	0.08	low
10156.24.fastq.gz	24	freshwater wetland	soil	43.044491	-76.663544	27.47	0.032230959	13.87968456	ug C/g soil/day	0.38	mS/cm	134.1	31.45	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	9.55	3.42	7.7032	0.2042	7.907	110.8847484	0.372096471	111.2568448	ug N/g dry soil	0.68429	678.157776	ugC/g soil	105.7858399	ug N/g dry soil	357.0201938	ng N/g soil/hour	76.7	6.36	0.41	41	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-5.829162711	ug-N/g dry soil/day	1.27431003	ug-N/g dry soil/day	13.87968456	ug C/g soil/day	0.15	high
10156.25.fastq.gz	25	freshwater wetland	soil	43.044491	-76.663544	27.81	0.166853183	35.96414209	ug C/g soil/day	0.464	mS/cm	134.1	30.97	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	9	2.65	8.8249	0.1721	8.997	146.9988145	0.528772714	147.5275872	ug N/g dry soil	0.82693	664.6169622	ugC/g soil	187.6386203	ug N/g dry soil	957.5994311	ng N/g soil/hour	77.48	6.36	0.4	39.97	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-8.947739751	ug-N/g dry soil/day	2.016553623	ug-N/g dry soil/day	35.96414209	ug C/g soil/day	0.12	high
10156.26.fastq.gz	26	freshwater wetland	soil	43.044491	-76.663544	28.22	0.064118559	32.83714446	ug C/g soil/day	0.456	mS/cm	134.1	31.67	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	9.68	2.96	9.6429	0.1909	9.834	107.5899853	0.440942563	108.0309278	ug N/g dry soil	0.89807	1328.425988	ugC/g soil	154.291221	ug N/g dry soil	473.8540714	ng N/g soil/hour	76.59	6.22	0.37	41.35	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-9.779254087	ug-N/g dry soil/day	0.184095192	ug-N/g dry soil/day	32.83714446	ug C/g soil/day	0.12	high
10156.27.fastq.gz	27	freshwater wetland	soil	43.02076	-76.808487	28.43	0.074373434	23.37940532	ug C/g soil/day	0.44	mS/cm	125.2	33.19	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	9.37	4.21	9.3883	0.3272	9.715	17.20300902	0.505970853	17.70897987	ug N/g dry soil	0.78554	485.4687143	ugC/g soil	43.11678784	ug N/g dry soil	527.5915835	ng N/g soil/hour	77.98	6.3	0.31	42.56	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	2.91151096	ug-N/g dry soil/day	-0.000995296	ug-N/g dry soil/day	23.37940532	ug C/g soil/day	0.24	high
